6.973803741020458968e-01 3.026196258979541587e-01
5.286719650037886575e-01 4.713280349962113980e-01
5.974705975221554777e-01 4.025294024778444668e-01
2.888817234292582747e-01 7.111182765707416698e-01
4.185418920790623387e-01 5.814581079209376613e-01
7.319456137416192609e-01 2.680543862583807391e-01
5.347834649546827634e-01 4.652165350453172921e-01
5.121594854251193540e-01 4.878405145748805904e-01
4.124361897790099901e-02 9.587563810220990357e-01
9.417205041453255987e-01 5.827949585467449151e-02
