1.765801869134020485e-01 4.325673507662498585e-01
7.707185856030853710e-01 2.663982359449779125e-02
6.715107849181319866e-01 5.549227871080997243e-02
9.920075329043724910e-01 3.194027522790410245e-05
6.200140538452549865e-01 7.500774018109568342e-02
9.722805870108908177e-01 3.842567548570929858e-04
1.058050909192076450e-02 8.549170202566920285e-01
4.973789480957147013e-02 6.885486692289548571e-01
4.707037362011378123e-01 1.515629280090565745e-01
1.361255505631291385e-01 4.962928076648663867e-01
6.286642638433892483e-01 7.150133492124610690e-02
1.839620869525937508e-05 9.939343525514451327e-01
6.200159578621651235e-01 7.500695801503887150e-02
5.484233759871837144e-03 8.954132384103493658e-01
4.204346737443735993e-01 1.850742165066752154e-01
2.874531003809649432e-01 2.983755165023809219e-01
8.604380847701875723e-03 8.691003196121878105e-01
6.052705554836250723e-01 8.120259815789954150e-02
6.877199301087415506e-01 5.000991692086043106e-02
3.549022746190393374e-01 2.358999249389445163e-01
2.945523985249172139e-01 2.912379231554126369e-01
4.356157124203750008e-01 1.744878099426760976e-01
1.421171944020016564e-02 8.320075421009816008e-01
4.529981711566838376e-01 1.628685890243590784e-01
3.966528063737712051e-01 2.025213708547709546e-01
4.349900209933199591e-03 9.068287663061711523e-01
1.033741993049744901e-01 5.572109153016480132e-01
3.138490567163200184e-01 2.725408031848685075e-01
1.438178558646852068e-02 8.310126175826078043e-01
2.340956829483499257e-01 3.570454315259548039e-01
